Frequency,Magnitude_1,Magnitude_2,dB,Phase
1.0000E1,1.0213E0,1.0223E0,8.8745E-3,1.5616E-2
1.0986E1,1.0213E0,1.0221E0,6.1804E-3,2.3568E-3
1.2069E1,1.0218E0,1.0222E0,3.3015E-3,-7.2514E-3
1.3258E1,1.0213E0,1.0219E0,4.5925E-3,2.0504E-2
1.4565E1,1.0216E0,1.0223E0,5.6881E-3,2.7735E-3
1.6001E1,1.0212E0,1.0224E0,9.6697E-3,-1.4277E-3
1.7578E1,1.0211E0,1.0223E0,9.8997E-3,2.2393E-2
1.9311E1,1.0213E0,1.0220E0,5.5474E-3,-1.9691E-2
2.1214E1,1.0212E0,1.0220E0,7.1174E-3,2.1662E-2
2.3305E1,1.0212E0,1.0220E0,7.3928E-3,-1.8718E-3
2.5603E1,1.0212E0,1.0222E0,8.4776E-3,-5.6529E-3
2.8126E1,1.0217E0,1.0218E0,5.1558E-4,5.6016E-4
3.0899E1,1.0213E0,1.0223E0,8.6874E-3,2.6273E-2
3.3945E1,1.0211E0,1.0220E0,7.8005E-3,-1.9332E-3
3.7291E1,1.0217E0,1.0220E0,3.0166E-3,2.7223E-3
4.0967E1,1.0212E0,1.0223E0,9.7114E-3,-1.0657E-3
4.5005E1,1.0214E0,1.0221E0,6.0290E-3,-3.7333E-3
4.9441E1,1.0214E0,1.0221E0,6.3223E-3,1.5268E-3
5.4314E1,1.0213E0,1.0224E0,9.2977E-3,2.5925E-3
5.9668E1,1.0214E0,1.0222E0,6.7967E-3,3.3917E-3
6.5550E1,1.0212E0,1.0221E0,7.8970E-3,1.7532E-2
7.2011E1,1.0213E0,1.0221E0,6.8158E-3,3.7504E-3
7.9110E1,1.0217E0,1.0223E0,5.4580E-3,1.9162E-3
8.6908E1,1.0213E0,1.0221E0,7.2128E-3,6.7732E-3
9.5474E1,1.0211E0,1.0224E0,1.0880E-2,-1.2365E-2
1.0489E2,1.0211E0,1.0222E0,8.5145E-3,-7.8559E-3
1.1522E2,1.0214E0,1.0220E0,5.3626E-3,-1.0110E-2
1.2658E2,1.0216E0,1.0222E0,5.2804E-3,8.6415E-4
1.3906E2,1.0211E0,1.0222E0,9.0843E-3,1.7058E-2
1.5277E2,1.0213E0,1.0225E0,1.0067E-2,-9.2222E-5
1.6783E2,1.0216E0,1.0223E0,5.2577E-3,7.3778E-3
1.8437E2,1.0213E0,1.0226E0,1.0782E-2,4.2764E-3
2.0254E2,1.0212E0,1.0222E0,8.7208E-3,-7.7227E-3
2.2251E2,1.0216E0,1.0224E0,6.5297E-3,-1.7642E-2
2.4444E2,1.0214E0,1.0223E0,7.4571E-3,-1.6996E-2
2.6854E2,1.0218E0,1.0221E0,2.4861E-3,1.2061E-2
2.9501E2,1.0211E0,1.0223E0,1.0042E-2,-5.3728E-3
3.2408E2,1.0213E0,1.0220E0,6.6596E-3,3.6294E-2
3.5603E2,1.0216E0,1.0220E0,3.9774E-3,4.9048E-3
3.9112E2,1.0216E0,1.0221E0,4.7070E-3,1.7488E-3
4.2968E2,1.0212E0,1.0222E0,8.6278E-3,1.9551E-2
4.7203E2,1.0215E0,1.0221E0,5.3388E-3,9.1812E-3
5.1856E2,1.0217E0,1.0223E0,4.6891E-3,-1.0107E-2
5.6968E2,1.0215E0,1.0220E0,4.3720E-3,4.3481E-3
6.2583E2,1.0215E0,1.0222E0,6.6036E-3,3.1390E-3
6.8752E2,1.0214E0,1.0222E0,6.7788E-3,1.7078E-3
7.5529E2,1.0215E0,1.0223E0,7.2652E-3,-9.5877E-3
8.2974E2,1.0218E0,1.0223E0,3.6210E-3,3.6581E-3
9.1153E2,1.0214E0,1.0226E0,1.0076E-2,-2.2646E-3
1.0014E3,1.0220E0,1.0226E0,5.1326E-3,7.2753E-3
