Frequency,Magnitude_1,Magnitude_2,dB,Phase
1.0000E1,2.1789E0,2.1796E0,2.9379E-3,6.3189E-4
1.0986E1,2.1788E0,2.1796E0,2.8664E-3,-4.3378E-4
1.2069E1,2.1789E0,2.1796E0,2.9856E-3,9.9395E-4
1.3258E1,2.1789E0,2.1797E0,2.7794E-3,9.4613E-4
1.4565E1,2.1789E0,2.1796E0,3.0488E-3,-6.0457E-4
1.6001E1,2.1789E0,2.1796E0,3.0845E-3,-2.8350E-4
1.7578E1,2.1789E0,2.1797E0,2.8640E-3,-1.7761E-4
1.9311E1,2.1789E0,2.1796E0,3.0428E-3,6.0457E-4
2.1214E1,2.1789E0,2.1796E0,2.8247E-3,9.6662E-4
2.3305E1,2.1789E0,2.1796E0,3.0702E-3,-1.0725E-3
2.5603E1,2.1789E0,2.1796E0,2.8640E-3,-3.7572E-4
2.8126E1,2.1789E0,2.1796E0,3.0261E-3,-3.7230E-4
3.0899E1,2.1789E0,2.1797E0,2.9117E-3,2.6642E-4
3.3945E1,2.1789E0,2.1797E0,3.2073E-3,-6.4897E-5
3.7291E1,2.1790E0,2.1796E0,2.8211E-3,-7.4461E-4
4.0967E1,2.1789E0,2.1797E0,3.0857E-3,3.4839E-4
4.5005E1,2.1789E0,2.1797E0,3.1787E-3,3.3473E-4
4.9441E1,2.1789E0,2.1797E0,3.2240E-3,1.0349E-3
5.4314E1,2.1790E0,2.1797E0,2.8390E-3,-1.6566E-3
5.9668E1,2.1790E0,2.1797E0,3.0547E-3,-7.9926E-4
6.5550E1,2.1790E0,2.1797E0,3.1585E-3,9.7345E-4
7.2011E1,2.1789E0,2.1797E0,3.0345E-3,4.8843E-4
7.9110E1,2.1790E0,2.1798E0,3.1418E-3,-5.8749E-4
8.6908E1,2.1789E0,2.1797E0,3.1251E-3,4.5769E-4
9.5474E1,2.1790E0,2.1797E0,2.9570E-3,5.9773E-4
1.0489E2,2.1789E0,2.1797E0,3.2920E-3,3.0399E-4
1.1522E2,2.1790E0,2.1797E0,2.9260E-3,-4.0646E-4
1.2658E2,2.1789E0,2.1798E0,3.0762E-3,-4.8843E-4
1.3906E2,2.1790E0,2.1797E0,3.0679E-3,-1.3663E-5
1.5277E2,2.1790E0,2.1797E0,2.9737E-3,1.1442E-3
1.6783E2,2.1788E0,2.1797E0,3.0369E-3,-1.1135E-3
1.8437E2,2.1789E0,2.1797E0,3.1585E-3,-1.7078E-4
2.0254E2,2.1790E0,2.1797E0,3.0595E-3,-1.7044E-3
2.2251E2,2.1790E0,2.1798E0,3.1084E-3,5.7041E-4
2.4444E2,2.1790E0,2.1797E0,3.0798E-3,5.4650E-4
2.6854E2,2.1790E0,2.1797E0,2.9367E-3,7.4802E-4
2.9501E2,2.1790E0,2.1798E0,3.0285E-3,4.9527E-4
3.2408E2,2.1790E0,2.1797E0,2.7818E-3,-1.1545E-3
3.5603E2,2.1791E0,2.1798E0,3.0309E-3,1.2706E-3
3.9112E2,2.1791E0,2.1798E0,2.8950E-3,1.4346E-4
4.2968E2,2.1790E0,2.1798E0,3.0595E-3,-7.3436E-4
4.7203E2,2.1791E0,2.1799E0,2.7925E-3,-7.9926E-4
5.1856E2,2.1791E0,2.1799E0,3.0035E-3,-6.0798E-4
5.6968E2,2.1791E0,2.1799E0,3.0178E-3,4.2012E-4
6.2583E2,2.1792E0,2.1799E0,2.9689E-3,-8.6757E-4
6.8752E2,2.1791E0,2.1800E0,3.1442E-3,-1.6395E-4
7.5529E2,2.1793E0,2.1800E0,2.9689E-3,6.7629E-4
8.2974E2,2.1793E0,2.1800E0,3.0333E-3,-5.4650E-4
9.1153E2,2.1792E0,2.1799E0,3.0428E-3,-3.5181E-4
1.0014E3,2.1793E0,2.1800E0,2.9630E-3,5.4650E-4
