Frequency,Magnitude_1,Magnitude_2,dB,Phase
Frequency,Magnitude_1,Magnitude_2,dB,Phase
1.0000E1,2.1790E0,2.1797E0,3.0655E-3,2.3226E-4
1.0986E1,2.1790E0,2.1797E0,2.7901E-3,-3.9280E-4
1.2069E1,2.1789E0,2.1797E0,2.9975E-3,5.2942E-4
1.3258E1,2.1788E0,2.1796E0,2.9999E-3,-1.2570E-3
1.4565E1,2.1789E0,2.1797E0,2.9141E-3,1.9128E-4
1.6001E1,2.1789E0,2.1797E0,3.1084E-3,6.4555E-4
1.7578E1,2.1790E0,2.1798E0,2.9808E-3,2.2885E-4
1.9311E1,2.1789E0,2.1797E0,3.0619E-3,-5.3625E-4
2.1214E1,2.1789E0,2.1797E0,2.9975E-3,-7.2411E-4
2.3305E1,2.1790E0,2.1796E0,2.7734E-3,1.0896E-3
2.5603E1,2.1790E0,2.1797E0,3.1108E-3,3.1082E-4
2.8126E1,2.1789E0,2.1796E0,3.0226E-3,-1.4004E-3
3.0899E1,2.1789E0,2.1797E0,2.9653E-3,8.5391E-5
3.3945E1,2.1790E0,2.1797E0,2.9057E-3,1.5712E-4
3.7291E1,2.1789E0,2.1797E0,2.8974E-3,8.3341E-4
4.0967E1,2.1790E0,2.1798E0,2.8950E-3,8.2317E-4
4.5005E1,2.1789E0,2.1797E0,2.9689E-3,-1.6702E-3
4.9441E1,2.1789E0,2.1796E0,2.8843E-3,1.0930E-3
5.4314E1,2.1790E0,2.1797E0,3.0571E-3,-5.1234E-5
5.9668E1,2.1789E0,2.1797E0,3.2789E-3,3.6889E-4
6.5550E1,2.1790E0,2.1797E0,2.9630E-3,-6.5922E-4
7.2011E1,2.1789E0,2.1797E0,2.9808E-3,-3.5523E-4
7.9110E1,2.1790E0,2.1798E0,3.0309E-3,-1.0247E-3
8.6908E1,2.1790E0,2.1797E0,2.9117E-3,1.9811E-4
9.5474E1,2.1789E0,2.1797E0,3.0249E-3,4.0988E-4
1.0489E2,2.1790E0,2.1798E0,3.0106E-3,-6.5238E-4
1.1522E2,2.1790E0,2.1797E0,2.8235E-3,5.7041E-4
1.2658E2,2.1790E0,2.1797E0,2.9808E-3,-1.0793E-3
1.3906E2,2.1791E0,2.1798E0,2.8747E-3,1.3014E-3
1.5277E2,2.1790E0,2.1798E0,2.9093E-3,-9.9053E-5
1.6783E2,2.1789E0,2.1797E0,3.0333E-3,2.5617E-4
1.8437E2,2.1789E0,2.1797E0,3.1024E-3,-2.8008E-4
2.0254E2,2.1790E0,2.1798E0,2.9653E-3,1.8069E-3
2.2251E2,2.1790E0,2.1798E0,2.9510E-3,-5.4650E-5
2.4444E2,2.1790E0,2.1797E0,3.0142E-3,-7.0704E-4
2.6854E2,2.1790E0,2.1798E0,2.9582E-3,-7.5827E-4
2.9501E2,2.1791E0,2.1799E0,2.8700E-3,1.3458E-3
3.2408E2,2.1791E0,2.1798E0,2.8831E-3,2.5617E-4
3.5603E2,2.1791E0,2.1798E0,2.9665E-3,-7.6169E-4
3.9112E2,2.1791E0,2.1798E0,2.8926E-3,5.7724E-4
4.2968E2,2.1791E0,2.1799E0,2.9630E-3,-6.1140E-4
4.7203E2,2.1790E0,2.1798E0,3.2038E-3,-6.1481E-5
5.1856E2,2.1792E0,2.1798E0,2.9510E-3,5.7383E-4
5.6968E2,2.1791E0,2.1798E0,2.8843E-3,7.2411E-4
6.2583E2,2.1791E0,2.1799E0,3.1227E-3,5.1234E-4
6.8752E2,2.1792E0,2.1800E0,2.9880E-3,2.5959E-4
7.5529E2,2.1792E0,2.1800E0,3.0059E-3,6.2848E-4
8.2974E2,2.1792E0,2.1800E0,2.8747E-3,9.6662E-4
9.1153E2,2.1792E0,2.1800E0,3.0679E-3,4.1329E-4
1.0014E3,2.1792E0,2.1799E0,2.9999E-3,7.0020E-4
