Frequency,Magnitude_1,Magnitude_2,dB,Phase
1.0000E1,1.0213E0,1.0222E0,7.5775E-3,-3.0331E-3
1.0986E1,1.0211E0,1.0222E0,9.4932E-3,2.9105E-2
1.2069E1,1.0214E0,1.0222E0,5.9956E-3,3.9997E-3
1.3258E1,1.0213E0,1.0224E0,9.6375E-3,-1.7707E-2
1.4565E1,1.0214E0,1.0223E0,7.4893E-3,1.0725E-2
1.6001E1,1.0214E0,1.0219E0,4.2456E-3,-8.3068E-3
1.7578E1,1.0213E0,1.0221E0,7.3379E-3,-4.1124E-3
1.9311E1,1.0216E0,1.0222E0,4.8703E-3,-1.4759E-2
2.1214E1,1.0216E0,1.0225E0,7.6908E-3,8.3990E-3
2.3305E1,1.0211E0,1.0223E0,9.8568E-3,-1.1364E-2
2.5603E1,1.0217E0,1.0221E0,3.3742E-3,5.9808E-3
2.8126E1,1.0210E0,1.0223E0,1.1080E-2,9.1231E-3
3.0899E1,1.0213E0,1.0222E0,8.2618E-3,-5.2703E-3
3.3945E1,1.0218E0,1.0220E0,2.0915E-3,-1.4004E-4
3.7291E1,1.0211E0,1.0223E0,1.0200E-2,-2.2919E-2
4.0967E1,1.0210E0,1.0219E0,7.3105E-3,1.4373E-2
4.5005E1,1.0213E0,1.0225E0,9.9200E-3,-4.6282E-3
4.9441E1,1.0214E0,1.0221E0,6.0159E-3,4.3071E-3
5.4314E1,1.0211E0,1.0221E0,8.1986E-3,8.2078E-3
5.9668E1,1.0210E0,1.0223E0,1.0946E-2,7.1728E-4
6.5550E1,1.0214E0,1.0222E0,6.5357E-3,2.7083E-2
7.2011E1,1.0216E0,1.0224E0,7.1544E-3,-4.3003E-3
7.9110E1,1.0212E0,1.0220E0,7.2593E-3,9.7755E-3
8.6908E1,1.0211E0,1.0223E0,9.7936E-3,2.0579E-2
9.5474E1,1.0211E0,1.0218E0,5.4389E-3,7.7910E-3
1.0489E2,1.0211E0,1.0223E0,1.0189E-2,-2.6915E-3
1.1522E2,1.0213E0,1.0224E0,9.7519E-3,1.7693E-3
1.2658E2,1.0212E0,1.0219E0,6.5833E-3,-1.4329E-2
1.3906E2,1.0215E0,1.0226E0,8.7005E-3,-8.7987E-3
1.5277E2,1.0213E0,1.0222E0,8.4633E-3,1.0828E-3
1.6783E2,1.0211E0,1.0222E0,9.7317E-3,-1.1852E-3
1.8437E2,1.0213E0,1.0223E0,7.9459E-3,-8.0848E-3
2.0254E2,1.0215E0,1.0220E0,4.3863E-3,-4.3139E-3
2.2251E2,1.0214E0,1.0222E0,6.4331E-3,1.6053E-4
2.4444E2,1.0215E0,1.0222E0,6.4331E-3,3.0877E-3
2.6854E2,1.0216E0,1.0222E0,5.8025E-3,-7.4802E-4
2.9501E2,1.0211E0,1.0222E0,1.0064E-2,1.3434E-2
3.2408E2,1.0217E0,1.0224E0,6.0266E-3,1.2067E-2
3.5603E2,1.0211E0,1.0222E0,8.8519E-3,9.6491E-3
3.9112E2,1.0216E0,1.0225E0,7.8493E-3,1.8444E-4
4.2968E2,1.0213E0,1.0225E0,1.0263E-2,-6.9918E-3
4.7203E2,1.0214E0,1.0220E0,4.9132E-3,-1.4653E-3
5.1856E2,1.0214E0,1.0222E0,6.2710E-3,-2.3841E-3
5.6968E2,1.0213E0,1.0226E0,1.0839E-2,3.1595E-3
6.2583E2,1.0216E0,1.0225E0,7.7814E-3,-2.2745E-2
6.8752E2,1.0215E0,1.0224E0,7.9662E-3,1.0906E-2
7.5529E2,1.0214E0,1.0220E0,5.2005E-3,-1.8137E-3
8.2974E2,1.0214E0,1.0223E0,7.7921E-3,2.2376E-2
9.1153E2,1.0214E0,1.0222E0,5.9956E-3,2.5364E-2
1.0014E3,1.0214E0,1.0223E0,7.6824E-3,-1.2877E-2
