Frequency,Magnitude_1,Magnitude_2,dB,Phase
1.0000E1,2.1789E0,2.1797E0,3.2586E-3,3.3815E-4
1.0986E1,2.1790E0,2.1796E0,2.9093E-3,6.9337E-4
1.2069E1,2.1789E0,2.1797E0,3.1847E-3,8.3000E-4
1.3258E1,2.1789E0,2.1797E0,3.0106E-3,-9.0514E-4
1.4565E1,2.1789E0,2.1796E0,2.9808E-3,4.6111E-4
1.6001E1,2.1789E0,2.1797E0,3.1084E-3,-6.8313E-5
1.7578E1,2.1790E0,2.1797E0,3.0702E-3,4.1329E-4
1.9311E1,2.1789E0,2.1798E0,3.0404E-3,6.9337E-4
2.1214E1,2.1790E0,2.1797E0,2.9892E-3,1.5029E-4
2.3305E1,2.1789E0,2.1798E0,3.2133E-3,-8.1975E-5
2.5603E1,2.1790E0,2.1797E0,3.0035E-3,-1.2638E-3
2.8126E1,2.1789E0,2.1797E0,3.0655E-3,2.1518E-4
3.0899E1,2.1789E0,2.1797E0,2.9689E-3,-6.0115E-4
3.3945E1,2.1789E0,2.1797E0,3.1620E-3,1.2126E-3
3.7291E1,2.1789E0,2.1797E0,3.1143E-3,-7.4802E-4
4.0967E1,2.1789E0,2.1797E0,2.9653E-3,6.9679E-4
4.5005E1,2.1790E0,2.1797E0,2.7901E-3,-6.7288E-4
4.9441E1,2.1789E0,2.1797E0,3.2777E-3,3.5864E-4
5.4314E1,2.1790E0,2.1797E0,2.9486E-3,2.0835E-4
5.9668E1,2.1789E0,2.1797E0,3.0023E-3,-1.5951E-3
6.5550E1,2.1790E0,2.1797E0,2.9546E-3,-9.0856E-4
7.2011E1,2.1789E0,2.1797E0,2.7388E-3,-4.4403E-4
7.9110E1,2.1790E0,2.1797E0,2.7984E-3,-9.5296E-4
8.6908E1,2.1790E0,2.1797E0,2.8473E-3,-1.6498E-3
9.5474E1,2.1789E0,2.1797E0,2.9570E-3,9.7004E-4
1.0489E2,2.1790E0,2.1797E0,2.7782E-3,6.8996E-4
1.1522E2,2.1790E0,2.1797E0,3.0631E-3,-3.7913E-4
1.2658E2,2.1789E0,2.1797E0,2.9975E-3,-2.2885E-4
1.3906E2,2.1791E0,2.1799E0,3.0059E-3,2.9374E-4
1.5277E2,2.1790E0,2.1797E0,3.0106E-3,1.9811E-4
1.6783E2,2.1790E0,2.1798E0,3.2550E-3,4.9527E-4
1.8437E2,2.1790E0,2.1797E0,2.8414E-3,5.0551E-4
2.0254E2,2.1790E0,2.1798E0,2.8175E-3,-5.6699E-4
2.2251E2,2.1790E0,2.1798E0,2.9582E-3,-6.0115E-4
2.4444E2,2.1790E0,2.1798E0,2.9427E-3,-1.7966E-3
2.6854E2,2.1790E0,2.1798E0,2.9260E-3,1.9708E-3
2.9501E2,2.1791E0,2.1799E0,2.9153E-3,-2.0596E-3
3.2408E2,2.1791E0,2.1798E0,3.0392E-3,1.0486E-3
3.5603E2,2.1791E0,2.1798E0,3.0798E-3,-3.4839E-4
3.9112E2,2.1791E0,2.1798E0,3.0202E-3,1.8786E-4
4.2968E2,2.1791E0,2.1800E0,3.1906E-3,5.5333E-4
4.7203E2,2.1791E0,2.1798E0,2.9570E-3,6.8313E-6
5.1856E2,2.1791E0,2.1798E0,3.0309E-3,-3.5181E-4
5.6968E2,2.1791E0,2.1799E0,3.2300E-3,9.7687E-4
6.2583E2,2.1791E0,2.1799E0,3.0631E-3,6.4897E-4
6.8752E2,2.1792E0,2.1800E0,3.0571E-3,2.4593E-4
7.5529E2,2.1792E0,2.1800E0,2.9832E-3,-1.1818E-3
8.2974E2,2.1792E0,2.1800E0,2.8640E-3,2.0494E-4
9.1153E2,2.1792E0,2.1801E0,3.1811E-3,1.0657E-3
1.0014E3,2.1793E0,2.1800E0,2.8867E-3,1.2740E-3
